Selected	index	ID	LINcode (N. gonorrhoeae cgMLST v2)	LINcode (N. gonorrhoeae cgMLST v2)[10]	LINcode (N. gonorrhoeae cgMLST v2)[1]	LINcode (N. gonorrhoeae cgMLST v2)[2]	LINcode (N. gonorrhoeae cgMLST v2)[3]	LINcode (N. gonorrhoeae cgMLST v2)[4]	LINcode (N. gonorrhoeae cgMLST v2)[5]	LINcode (N. gonorrhoeae cgMLST v2)[6]	LINcode (N. gonorrhoeae cgMLST v2)[7]	LINcode (N. gonorrhoeae cgMLST v2)[8]	LINcode (N. gonorrhoeae cgMLST v2)[9]	country	isolate	year
	293	106152	0_16_0_1_7_0_0_0_0_0_0	0_16_0_1_7_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_7	0_16_0_1_7_0	0_16_0_1_7_0_0	0_16_0_1_7_0_0_0	0_16_0_1_7_0_0_0_0	Kenya	2783_Kenya	2016
	294	106153	1_1_2_0_43_0_0_0_0_0_0	1_1_2_0_43_0_0_0_0_0	1	1_1	1_1_2	1_1_2_0	1_1_2_0_43	1_1_2_0_43_0	1_1_2_0_43_0_0	1_1_2_0_43_0_0_0	1_1_2_0_43_0_0_0_0	Kenya	2796_Kenya	2019
	295	106154	0_16_4_0_4_0_0_0_0_1_0	0_16_4_0_4_0_0_0_0_1	0	0_16	0_16_4	0_16_4_0	0_16_4_0_4	0_16_4_0_4_0	0_16_4_0_4_0_0	0_16_4_0_4_0_0_0	0_16_4_0_4_0_0_0_0	Kenya	2801_Kenya	2016
	296	106155	0_0_33_52_0_0_0_0_0_1_0	0_0_33_52_0_0_0_0_0_1	0	0_0	0_0_33	0_0_33_52	0_0_33_52_0	0_0_33_52_0_0	0_0_33_52_0_0_0	0_0_33_52_0_0_0_0	0_0_33_52_0_0_0_0_0	Kenya	2822_Kenya	2017
	297	106156	0_0_33_48_0_0_0_0_0_2_0	0_0_33_48_0_0_0_0_0_2	0	0_0	0_0_33	0_0_33_48	0_0_33_48_0	0_0_33_48_0_0	0_0_33_48_0_0_0	0_0_33_48_0_0_0_0	0_0_33_48_0_0_0_0_0	Kenya	2852_Kenya	2017
	298	106157	0_7_0_4_15_0_0_0_0_1_0	0_7_0_4_15_0_0_0_0_1	0	0_7	0_7_0	0_7_0_4	0_7_0_4_15	0_7_0_4_15_0	0_7_0_4_15_0_0	0_7_0_4_15_0_0_0	0_7_0_4_15_0_0_0_0	Kenya	2875_Kenya	2017
	299	106158	1_0_0_1_0_0_0_0_0_1_0	1_0_0_1_0_0_0_0_0_1	1	1_0	1_0_0	1_0_0_1	1_0_0_1_0	1_0_0_1_0_0	1_0_0_1_0_0_0	1_0_0_1_0_0_0_0	1_0_0_1_0_0_0_0_0	Kenya	2901_Kenya	2017
	300	106159	0_16_0_7_0_1_0_0_0_0_0	0_16_0_7_0_1_0_0_0_0	0	0_16	0_16_0	0_16_0_7	0_16_0_7_0	0_16_0_7_0_1	0_16_0_7_0_1_0	0_16_0_7_0_1_0_0	0_16_0_7_0_1_0_0_0	Kenya	2903_Kenya	2018
	301	106160	1_1_34_2_0_0_0_0_0_0_0	1_1_34_2_0_0_0_0_0_0	1	1_1	1_1_34	1_1_34_2	1_1_34_2_0	1_1_34_2_0_0	1_1_34_2_0_0_0	1_1_34_2_0_0_0_0	1_1_34_2_0_0_0_0_0	Kenya	2921_Kenya	2017
	302	106161	0_0_33_52_0_0_0_0_0_0_0	0_0_33_52_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_52	0_0_33_52_0	0_0_33_52_0_0	0_0_33_52_0_0_0	0_0_33_52_0_0_0_0	0_0_33_52_0_0_0_0_0	Kenya	2932_Kenya	2017
	303	106162	0_0_36_1_0_4_0_0_0_0_0	0_0_36_1_0_4_0_0_0_0	0	0_0	0_0_36	0_0_36_1	0_0_36_1_0	0_0_36_1_0_4	0_0_36_1_0_4_0	0_0_36_1_0_4_0_0	0_0_36_1_0_4_0_0_0	Kenya	3103_Kenya	2019
	304	106163	0_9_0_5_4_0_0_0_0_0_0	0_9_0_5_4_0_0_0_0_0	0	0_9	0_9_0	0_9_0_5	0_9_0_5_4	0_9_0_5_4_0	0_9_0_5_4_0_0	0_9_0_5_4_0_0_0	0_9_0_5_4_0_0_0_0	Kenya	3107_Kenya	2019
	305	106164	0_0_33_51_0_0_0_0_0_0_0	0_0_33_51_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_51	0_0_33_51_0	0_0_33_51_0_0	0_0_33_51_0_0_0	0_0_33_51_0_0_0_0	0_0_33_51_0_0_0_0_0	Kenya	3140_Kenya	2020
	306	106165	0_7_0_4_11_0_0_0_0_0_0	0_7_0_4_11_0_0_0_0_0	0	0_7	0_7_0	0_7_0_4	0_7_0_4_11	0_7_0_4_11_0	0_7_0_4_11_0_0	0_7_0_4_11_0_0_0	0_7_0_4_11_0_0_0_0	Kenya	3313_Kenya	2020
	307	106166	0_7_0_4_15_0_0_0_0_0_0	0_7_0_4_15_0_0_0_0_0	0	0_7	0_7_0	0_7_0_4	0_7_0_4_15	0_7_0_4_15_0	0_7_0_4_15_0_0	0_7_0_4_15_0_0_0	0_7_0_4_15_0_0_0_0	Kenya	00N210012_Kenya	2019
	308	106167	0_0_36_1_0_2_0_0_0_0_0	0_0_36_1_0_2_0_0_0_0	0	0_0	0_0_36	0_0_36_1	0_0_36_1_0	0_0_36_1_0_2	0_0_36_1_0_2_0	0_0_36_1_0_2_0_0	0_0_36_1_0_2_0_0_0	Kenya	33100099_Kenya	2020
	309	109097												South Africa	SA2018-601	2018
	310	109098												South Africa	SA2018-602	2018
	311	109099												South Africa	SA2018-603	2018
	312	109100												South Africa	SA2018-604	2018
	313	109101												South Africa	SA2018-605	2018
	314	109102												South Africa	SA2018-606	2018
	315	109103												South Africa	SA2018-607	2018
	316	109104												South Africa	SA2018-609	2018
	317	109105												South Africa	SA2018-610	2018
	318	109106												South Africa	SA2018-611	2018
	319	109107												South Africa	SA2018-612	2018
	320	109108												South Africa	SA2018-613	2018
	321	109109												South Africa	SA2018-614	2018
	322	109110												South Africa	SA2018-615	2018
	323	109111												South Africa	SA2019-810	2019
	324	109112												South Africa	SA2019-812	2019
	325	109113												South Africa	SA2019-813	2019
	326	109114												South Africa	SA2019-814	2019
	327	109115												South Africa	SA2019-815	2019
	328	109116												South Africa	SA2019-816	2019
	329	109117												South Africa	SA2019-817	2019
	330	109118												South Africa	SA2019-818	2019
	331	109119												South Africa	SA2019-819	2019
	332	109120												South Africa	SA2018-820	2018
	333	109121												South Africa	SA2018-821	2018
	334	111732	0_0_33_12_267_0_0_0_0_0_0	0_0_33_12_267_0_0_0_0_0	0	0_0	0_0_33	0_0_33_12	0_0_33_12_267	0_0_33_12_267_0	0_0_33_12_267_0_0	0_0_33_12_267_0_0_0	0_0_33_12_267_0_0_0_0	Ghana	GHA-TMH-633	2018
	335	111733	0_0_33_12_272_0_0_0_0_0_0	0_0_33_12_272_0_0_0_0_0	0	0_0	0_0_33	0_0_33_12	0_0_33_12_272	0_0_33_12_272_0	0_0_33_12_272_0_0	0_0_33_12_272_0_0_0	0_0_33_12_272_0_0_0_0	Ghana	GHA-TMH-657	2019
	336	111734	0_0_11_1_0_5_0_0_0_0_0	0_0_11_1_0_5_0_0_0_0	0	0_0	0_0_11	0_0_11_1	0_0_11_1_0	0_0_11_1_0_5	0_0_11_1_0_5_0	0_0_11_1_0_5_0_0	0_0_11_1_0_5_0_0_0	Ghana	GHA-TMH-663	2019
	337	111735												Ghana	GHA-TMH-679	2019
	338	111736	0_12_6_2_0_0_0_0_0_0_0	0_12_6_2_0_0_0_0_0_0	0	0_12	0_12_6	0_12_6_2	0_12_6_2_0	0_12_6_2_0_0	0_12_6_2_0_0_0	0_12_6_2_0_0_0_0	0_12_6_2_0_0_0_0_0	Ghana	GHA-TMH-685	2019
	339	116222	0_16_0_1_16_0_0_0_0_0_0	0_16_0_1_16_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_16	0_16_0_1_16_0	0_16_0_1_16_0_0	0_16_0_1_16_0_0_0	0_16_0_1_16_0_0_0_0	Uganda	UG010	2018
	340	116223	1_0_0_4_0_0_0_0_0_0_0	1_0_0_4_0_0_0_0_0_0	1	1_0	1_0_0	1_0_0_4	1_0_0_4_0	1_0_0_4_0_0	1_0_0_4_0_0_0	1_0_0_4_0_0_0_0	1_0_0_4_0_0_0_0_0	Uganda	UG117	2018
	341	116224	0_16_0_1_23_0_0_0_0_0_0	0_16_0_1_23_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_23	0_16_0_1_23_0	0_16_0_1_23_0_0	0_16_0_1_23_0_0_0	0_16_0_1_23_0_0_0_0	Uganda	UG182	2018
	342	116225	0_0_36_4_6_0_0_0_0_0_0	0_0_36_4_6_0_0_0_0_0	0	0_0	0_0_36	0_0_36_4	0_0_36_4_6	0_0_36_4_6_0	0_0_36_4_6_0_0	0_0_36_4_6_0_0_0	0_0_36_4_6_0_0_0_0	Uganda	UG197	2018
	343	116226	0_0_33_130_0_0_0_0_0_0_0	0_0_33_130_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_130	0_0_33_130_0	0_0_33_130_0_0	0_0_33_130_0_0_0	0_0_33_130_0_0_0_0	0_0_33_130_0_0_0_0_0	Uganda	UG245	2018
	344	116227	0_0_33_49_3_0_0_0_0_0_0	0_0_33_49_3_0_0_0_0_0	0	0_0	0_0_33	0_0_33_49	0_0_33_49_3	0_0_33_49_3_0	0_0_33_49_3_0_0	0_0_33_49_3_0_0_0	0_0_33_49_3_0_0_0_0	Uganda	UG278	2018
	345	116228	16_1_0_2_4_0_0_0_0_0_0	16_1_0_2_4_0_0_0_0_0	16	16_1	16_1_0	16_1_0_2	16_1_0_2_4	16_1_0_2_4_0	16_1_0_2_4_0_0	16_1_0_2_4_0_0_0	16_1_0_2_4_0_0_0_0	Uganda	UG282	2018
	346	116229	0_9_0_12_0_0_0_0_0_0_0	0_9_0_12_0_0_0_0_0_0	0	0_9	0_9_0	0_9_0_12	0_9_0_12_0	0_9_0_12_0_0	0_9_0_12_0_0_0	0_9_0_12_0_0_0_0	0_9_0_12_0_0_0_0_0	Uganda	UG290	2018
	347	116230	0_9_0_12_0_1_0_0_0_0_0	0_9_0_12_0_1_0_0_0_0	0	0_9	0_9_0	0_9_0_12	0_9_0_12_0	0_9_0_12_0_1	0_9_0_12_0_1_0	0_9_0_12_0_1_0_0	0_9_0_12_0_1_0_0_0	Uganda	UG323	2018
	348	116231	0_0_36_4_8_0_0_0_0_0_0	0_0_36_4_8_0_0_0_0_0	0	0_0	0_0_36	0_0_36_4	0_0_36_4_8	0_0_36_4_8_0	0_0_36_4_8_0_0	0_0_36_4_8_0_0_0	0_0_36_4_8_0_0_0_0	Uganda	UG055	2018
	349	116232	1_1_34_5_0_0_0_0_0_0_0	1_1_34_5_0_0_0_0_0_0	1	1_1	1_1_34	1_1_34_5	1_1_34_5_0	1_1_34_5_0_0	1_1_34_5_0_0_0	1_1_34_5_0_0_0_0	1_1_34_5_0_0_0_0_0	Uganda	UG224	2018
	350	116233	0_0_33_123_0_0_0_0_0_0_0	0_0_33_123_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_123	0_0_33_123_0	0_0_33_123_0_0	0_0_33_123_0_0_0	0_0_33_123_0_0_0_0	0_0_33_123_0_0_0_0_0	Uganda	UG009	2018
	351	116234	0_0_33_128_0_0_0_0_0_0_0	0_0_33_128_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_128	0_0_33_128_0	0_0_33_128_0_0	0_0_33_128_0_0_0	0_0_33_128_0_0_0_0	0_0_33_128_0_0_0_0_0	Uganda	UG052	2018
	352	116235	0_16_0_1_29_0_0_0_0_0_0	0_16_0_1_29_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_29	0_16_0_1_29_0	0_16_0_1_29_0_0	0_16_0_1_29_0_0_0	0_16_0_1_29_0_0_0_0	Uganda	UG296	2018
	353	116236	0_0_33_116_0_0_0_0_0_0_0	0_0_33_116_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_116	0_0_33_116_0	0_0_33_116_0_0	0_0_33_116_0_0_0	0_0_33_116_0_0_0_0	0_0_33_116_0_0_0_0_0	Uganda	UG440	2018
	354	116237	0_9_0_5_9_0_0_0_0_0_0	0_9_0_5_9_0_0_0_0_0	0	0_9	0_9_0	0_9_0_5	0_9_0_5_9	0_9_0_5_9_0	0_9_0_5_9_0_0	0_9_0_5_9_0_0_0	0_9_0_5_9_0_0_0_0	Uganda	UG221	2018
	355	116238	1_1_56_0_0_0_0_0_0_0_0	1_1_56_0_0_0_0_0_0_0	1	1_1	1_1_56	1_1_56_0	1_1_56_0_0	1_1_56_0_0_0	1_1_56_0_0_0_0	1_1_56_0_0_0_0_0	1_1_56_0_0_0_0_0_0	Uganda	UG040	2018
	356	116239	0_0_36_8_0_0_0_0_0_0_0	0_0_36_8_0_0_0_0_0_0	0	0_0	0_0_36	0_0_36_8	0_0_36_8_0	0_0_36_8_0_0	0_0_36_8_0_0_0	0_0_36_8_0_0_0_0	0_0_36_8_0_0_0_0_0	Uganda	UG474	2018
	357	116240	0_16_8_0_0_0_0_0_0_0_0	0_16_8_0_0_0_0_0_0_0	0	0_16	0_16_8	0_16_8_0	0_16_8_0_0	0_16_8_0_0_0	0_16_8_0_0_0_0	0_16_8_0_0_0_0_0	0_16_8_0_0_0_0_0_0	Uganda	UG501	2018
	358	116241	0_0_36_4_12_0_0_0_0_0_0	0_0_36_4_12_0_0_0_0_0	0	0_0	0_0_36	0_0_36_4	0_0_36_4_12	0_0_36_4_12_0	0_0_36_4_12_0_0	0_0_36_4_12_0_0_0	0_0_36_4_12_0_0_0_0	Uganda	UG162	2018
	359	116242	0_16_9_0_0_0_0_0_0_0_0	0_16_9_0_0_0_0_0_0_0	0	0_16	0_16_9	0_16_9_0	0_16_9_0_0	0_16_9_0_0_0	0_16_9_0_0_0_0	0_16_9_0_0_0_0_0	0_16_9_0_0_0_0_0_0	Uganda	UG007	2018
	360	116243	0_2_21_0_13_0_0_0_0_0_0	0_2_21_0_13_0_0_0_0_0	0	0_2	0_2_21	0_2_21_0	0_2_21_0_13	0_2_21_0_13_0	0_2_21_0_13_0_0	0_2_21_0_13_0_0_0	0_2_21_0_13_0_0_0_0	Uganda	UG393	2018
	361	116244	0_16_9_4_0_0_0_0_0_0_0	0_16_9_4_0_0_0_0_0_0	0	0_16	0_16_9	0_16_9_4	0_16_9_4_0	0_16_9_4_0_0	0_16_9_4_0_0_0	0_16_9_4_0_0_0_0	0_16_9_4_0_0_0_0_0	Uganda	UG411	2018
	362	116245	1_1_34_12_0_0_0_0_0_0_0	1_1_34_12_0_0_0_0_0_0	1	1_1	1_1_34	1_1_34_12	1_1_34_12_0	1_1_34_12_0_0	1_1_34_12_0_0_0	1_1_34_12_0_0_0_0	1_1_34_12_0_0_0_0_0	Uganda	UG084	2018
	363	116246	1_1_56_0_1_0_0_0_0_0_0	1_1_56_0_1_0_0_0_0_0	1	1_1	1_1_56	1_1_56_0	1_1_56_0_1	1_1_56_0_1_0	1_1_56_0_1_0_0	1_1_56_0_1_0_0_0	1_1_56_0_1_0_0_0_0	Uganda	UG413	2018
	364	116247	0_9_0_7_0_0_0_0_0_0_0	0_9_0_7_0_0_0_0_0_0	0	0_9	0_9_0	0_9_0_7	0_9_0_7_0	0_9_0_7_0_0	0_9_0_7_0_0_0	0_9_0_7_0_0_0_0	0_9_0_7_0_0_0_0_0	Uganda	UG343	2018
	365	116248	0_16_0_10_0_0_0_0_0_0_0	0_16_0_10_0_0_0_0_0_0	0	0_16	0_16_0	0_16_0_10	0_16_0_10_0	0_16_0_10_0_0	0_16_0_10_0_0_0	0_16_0_10_0_0_0_0	0_16_0_10_0_0_0_0_0	Uganda	UG435	2018
	366	116249	0_2_55_3_0_0_0_0_0_0_0	0_2_55_3_0_0_0_0_0_0	0	0_2	0_2_55	0_2_55_3	0_2_55_3_0	0_2_55_3_0_0	0_2_55_3_0_0_0	0_2_55_3_0_0_0_0	0_2_55_3_0_0_0_0_0	Uganda	UG503	2018
	367	116250	0_16_4_1_0_0_0_0_0_0_0	0_16_4_1_0_0_0_0_0_0	0	0_16	0_16_4	0_16_4_1	0_16_4_1_0	0_16_4_1_0_0	0_16_4_1_0_0_0	0_16_4_1_0_0_0_0	0_16_4_1_0_0_0_0_0	Uganda	UG198	2018
	368	116251	1_0_0_3_0_0_0_0_0_0_0	1_0_0_3_0_0_0_0_0_0	1	1_0	1_0_0	1_0_0_3	1_0_0_3_0	1_0_0_3_0_0	1_0_0_3_0_0_0	1_0_0_3_0_0_0_0	1_0_0_3_0_0_0_0_0	Uganda	UG167	2018
	369	116252	0_16_9_3_0_0_0_0_0_0_0	0_16_9_3_0_0_0_0_0_0	0	0_16	0_16_9	0_16_9_3	0_16_9_3_0	0_16_9_3_0_0	0_16_9_3_0_0_0	0_16_9_3_0_0_0_0	0_16_9_3_0_0_0_0_0	Uganda	UG189	2018
	370	116253	0_16_9_2_0_0_0_0_0_0_0	0_16_9_2_0_0_0_0_0_0	0	0_16	0_16_9	0_16_9_2	0_16_9_2_0	0_16_9_2_0_0	0_16_9_2_0_0_0	0_16_9_2_0_0_0_0	0_16_9_2_0_0_0_0_0	Uganda	UG075	2018
	371	117540	0_0_33_12_5_4_0_0_0_0_0	0_0_33_12_5_4_0_0_0_0	0	0_0	0_0_33	0_0_33_12	0_0_33_12_5	0_0_33_12_5_4	0_0_33_12_5_4_0	0_0_33_12_5_4_0_0	0_0_33_12_5_4_0_0_0	Cameroon	NG31052019	2019
	372	117541	0_16_0_11_0_0_0_0_0_0_0	0_16_0_11_0_0_0_0_0_0	0	0_16	0_16_0	0_16_0_11	0_16_0_11_0	0_16_0_11_0_0	0_16_0_11_0_0_0	0_16_0_11_0_0_0_0	0_16_0_11_0_0_0_0_0	Cameroon	NG27082019A	2019
	373	117542	0_16_0_11_0_0_0_0_0_1_0	0_16_0_11_0_0_0_0_0_1	0	0_16	0_16_0	0_16_0_11	0_16_0_11_0	0_16_0_11_0_0	0_16_0_11_0_0_0	0_16_0_11_0_0_0_0	0_16_0_11_0_0_0_0_0	Cameroon	NG27082019B	2019
	374	117543	1_1_2_14_4_0_0_0_0_0_0	1_1_2_14_4_0_0_0_0_0	1	1_1	1_1_2	1_1_2_14	1_1_2_14_4	1_1_2_14_4_0	1_1_2_14_4_0_0	1_1_2_14_4_0_0_0	1_1_2_14_4_0_0_0_0	Cameroon	NG20042303A	2020
	375	117544	1_1_2_14_4_0_0_0_0_0_0	1_1_2_14_4_0_0_0_0_0	1	1_1	1_1_2	1_1_2_14	1_1_2_14_4	1_1_2_14_4_0	1_1_2_14_4_0_0	1_1_2_14_4_0_0_0	1_1_2_14_4_0_0_0_0	Cameroon	NG20042303B	2020
	376	117545	1_1_17_14_0_0_0_0_0_0_0	1_1_17_14_0_0_0_0_0_0	1	1_1	1_1_17	1_1_17_14	1_1_17_14_0	1_1_17_14_0_0	1_1_17_14_0_0_0	1_1_17_14_0_0_0_0	1_1_17_14_0_0_0_0_0	Cameroon	NG13112001	2020
	377	117546	0_16_0_2_8_0_0_0_0_0_0	0_16_0_2_8_0_0_0_0_0	0	0_16	0_16_0	0_16_0_2	0_16_0_2_8	0_16_0_2_8_0	0_16_0_2_8_0_0	0_16_0_2_8_0_0_0	0_16_0_2_8_0_0_0_0	Cameroon	NG14112002	2020
	378	117547	0_0_33_83_0_0_0_0_0_0_0	0_0_33_83_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_83	0_0_33_83_0	0_0_33_83_0_0	0_0_33_83_0_0_0	0_0_33_83_0_0_0_0	0_0_33_83_0_0_0_0_0	Cameroon	NG14112003	2020
	379	118224	1_1_2_14_4_0_0_0_0_0_0	1_1_2_14_4_0_0_0_0_0	1	1_1	1_1_2	1_1_2_14	1_1_2_14_4	1_1_2_14_4_0	1_1_2_14_4_0_0	1_1_2_14_4_0_0_0	1_1_2_14_4_0_0_0_0	Cameroon	NG20042303AMaxwell	2020
	380	118225	0_0_33_83_0_0_0_0_0_0_0	0_0_33_83_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_83	0_0_33_83_0	0_0_33_83_0_0	0_0_33_83_0_0_0	0_0_33_83_0_0_0_0	0_0_33_83_0_0_0_0_0	Cameroon	NG14112003Maxwell	2020
	381	123150	51_0_0_1_0_0_0_0_0_0_0	51_0_0_1_0_0_0_0_0_0	51	51_0	51_0_0	51_0_0_1	51_0_0_1_0	51_0_0_1_0_0	51_0_0_1_0_0_0	51_0_0_1_0_0_0_0	51_0_0_1_0_0_0_0_0	Zambia	FF05_01-134	2020
	382	123151	51_0_0_0_0_0_0_0_0_0_0	51_0_0_0_0_0_0_0_0_0	51	51_0	51_0_0	51_0_0_0	51_0_0_0_0	51_0_0_0_0_0	51_0_0_0_0_0_0	51_0_0_0_0_0_0_0	51_0_0_0_0_0_0_0_0	Zambia	FF05_02-104	2020
	383	123152												Zambia	FF05_02-210	2020
	384	125903	1_2_1_3_0_0_0_0_0_0_0	1_2_1_3_0_0_0_0_0_0	1	1_2	1_2_1	1_2_1_3	1_2_1_3_0	1_2_1_3_0_0	1_2_1_3_0_0_0	1_2_1_3_0_0_0_0	1_2_1_3_0_0_0_0_0	Madagascar	MDG-NG10	2020
	385	125904	1_2_1_0_0_0_0_0_0_0_0	1_2_1_0_0_0_0_0_0_0	1	1_2	1_2_1	1_2_1_0	1_2_1_0_0	1_2_1_0_0_0	1_2_1_0_0_0_0	1_2_1_0_0_0_0_0	1_2_1_0_0_0_0_0_0	Madagascar	MDG-NG11	2015
	386	125905	0_0_74_0_0_0_0_0_0_0_0	0_0_74_0_0_0_0_0_0_0	0	0_0	0_0_74	0_0_74_0	0_0_74_0_0	0_0_74_0_0_0	0_0_74_0_0_0_0	0_0_74_0_0_0_0_0	0_0_74_0_0_0_0_0_0	Madagascar	MDG-NG12	2019
	387	125906	1_1_58_0_0_0_0_0_0_0_0	1_1_58_0_0_0_0_0_0_0	1	1_1	1_1_58	1_1_58_0	1_1_58_0_0	1_1_58_0_0_0	1_1_58_0_0_0_0	1_1_58_0_0_0_0_0	1_1_58_0_0_0_0_0_0	Madagascar	MDG-NG13	2020
	388	125907	0_2_9_14_64_0_0_0_0_0_0	0_2_9_14_64_0_0_0_0_0	0	0_2	0_2_9	0_2_9_14	0_2_9_14_64	0_2_9_14_64_0	0_2_9_14_64_0_0	0_2_9_14_64_0_0_0	0_2_9_14_64_0_0_0_0	Madagascar	MDG-NG14	2020
	389	125908	0_24_0_0_1_0_0_0_0_0_0	0_24_0_0_1_0_0_0_0_0	0	0_24	0_24_0	0_24_0_0	0_24_0_0_1	0_24_0_0_1_0	0_24_0_0_1_0_0	0_24_0_0_1_0_0_0	0_24_0_0_1_0_0_0_0	Madagascar	MDG-NG15	2020
	390	125909	1_1_59_0_0_0_0_0_0_0_0	1_1_59_0_0_0_0_0_0_0	1	1_1	1_1_59	1_1_59_0	1_1_59_0_0	1_1_59_0_0_0	1_1_59_0_0_0_0	1_1_59_0_0_0_0_0	1_1_59_0_0_0_0_0_0	Madagascar	MDG-NG16	2016
	391	125910	1_2_1_1_0_0_0_0_0_0_0	1_2_1_1_0_0_0_0_0_0	1	1_2	1_2_1	1_2_1_1	1_2_1_1_0	1_2_1_1_0_0	1_2_1_1_0_0_0	1_2_1_1_0_0_0_0	1_2_1_1_0_0_0_0_0	Madagascar	MDG-NG17	2020
	392	125911	0_2_9_14_63_0_0_0_0_0_0	0_2_9_14_63_0_0_0_0_0	0	0_2	0_2_9	0_2_9_14	0_2_9_14_63	0_2_9_14_63_0	0_2_9_14_63_0_0	0_2_9_14_63_0_0_0	0_2_9_14_63_0_0_0_0	Madagascar	MDG-NG18	2020
	393	125912	1_1_57_0_0_0_0_0_0_0_0	1_1_57_0_0_0_0_0_0_0	1	1_1	1_1_57	1_1_57_0	1_1_57_0_0	1_1_57_0_0_0	1_1_57_0_0_0_0	1_1_57_0_0_0_0_0	1_1_57_0_0_0_0_0_0	Madagascar	MDG-NG19	2014
	394	125913	1_2_1_1_2_0_0_0_0_0_0	1_2_1_1_2_0_0_0_0_0	1	1_2	1_2_1	1_2_1_1	1_2_1_1_2	1_2_1_1_2_0	1_2_1_1_2_0_0	1_2_1_1_2_0_0_0	1_2_1_1_2_0_0_0_0	Madagascar	MDG-NG1	2020
	395	125914	0_0_47_6_22_0_0_0_0_0_0	0_0_47_6_22_0_0_0_0_0	0	0_0	0_0_47	0_0_47_6	0_0_47_6_22	0_0_47_6_22_0	0_0_47_6_22_0_0	0_0_47_6_22_0_0_0	0_0_47_6_22_0_0_0_0	Madagascar	MDG-NG20	2020
	396	125915	1_1_60_0_0_0_0_0_0_0_0	1_1_60_0_0_0_0_0_0_0	1	1_1	1_1_60	1_1_60_0	1_1_60_0_0	1_1_60_0_0_0	1_1_60_0_0_0_0	1_1_60_0_0_0_0_0	1_1_60_0_0_0_0_0_0	Madagascar	MDG-NG21	2014
	397	125916	1_2_1_2_0_0_0_0_0_0_0	1_2_1_2_0_0_0_0_0_0	1	1_2	1_2_1	1_2_1_2	1_2_1_2_0	1_2_1_2_0_0	1_2_1_2_0_0_0	1_2_1_2_0_0_0_0	1_2_1_2_0_0_0_0_0	Madagascar	MDG-NG22	2020
	398	125917	1_2_2_0_0_0_0_0_0_0_0	1_2_2_0_0_0_0_0_0_0	1	1_2	1_2_2	1_2_2_0	1_2_2_0_0	1_2_2_0_0_0	1_2_2_0_0_0_0	1_2_2_0_0_0_0_0	1_2_2_0_0_0_0_0_0	Madagascar	MDG-NG23	2014
	399	125918	1_2_1_4_0_0_0_0_0_0_0	1_2_1_4_0_0_0_0_0_0	1	1_2	1_2_1	1_2_1_4	1_2_1_4_0	1_2_1_4_0_0	1_2_1_4_0_0_0	1_2_1_4_0_0_0_0	1_2_1_4_0_0_0_0_0	Madagascar	MDG-NG24	2020
	400	125919	0_0_80_0_1_0_0_0_0_0_0	0_0_80_0_1_0_0_0_0_0	0	0_0	0_0_80	0_0_80_0	0_0_80_0_1	0_0_80_0_1_0	0_0_80_0_1_0_0	0_0_80_0_1_0_0_0	0_0_80_0_1_0_0_0_0	Madagascar	MDG-NG25	2020
	401	125920	1_1_61_0_0_0_0_0_0_0_0	1_1_61_0_0_0_0_0_0_0	1	1_1	1_1_61	1_1_61_0	1_1_61_0_0	1_1_61_0_0_0	1_1_61_0_0_0_0	1_1_61_0_0_0_0_0	1_1_61_0_0_0_0_0_0	Madagascar	MDG-NG26	2020
	402	125921	0_24_0_0_0_0_0_0_0_0_0	0_24_0_0_0_0_0_0_0_0	0	0_24	0_24_0	0_24_0_0	0_24_0_0_0	0_24_0_0_0_0	0_24_0_0_0_0_0	0_24_0_0_0_0_0_0	0_24_0_0_0_0_0_0_0	Madagascar	MDG-NG27	2020
	403	125922	0_2_39_1_0_0_0_0_0_0_0	0_2_39_1_0_0_0_0_0_0	0	0_2	0_2_39	0_2_39_1	0_2_39_1_0	0_2_39_1_0_0	0_2_39_1_0_0_0	0_2_39_1_0_0_0_0	0_2_39_1_0_0_0_0_0	Madagascar	MDG-NG28	2017
	404	125923	0_0_82_0_0_0_0_0_0_0_0	0_0_82_0_0_0_0_0_0_0	0	0_0	0_0_82	0_0_82_0	0_0_82_0_0	0_0_82_0_0_0	0_0_82_0_0_0_0	0_0_82_0_0_0_0_0	0_0_82_0_0_0_0_0_0	Madagascar	MDG-NG29	2019
